<! Entity=500kV木里变RCS-992稳控装置 type=安控策略 time=CURRENT_TIME version='1.0.0' !> 
<WARMAP_SCSDECI::500kV木里变RCS-992稳控装置 type=安控策略>                
@ scsdeci_id  scsdev_name          scsdeci_desc                                                    decitype deciturn turnrelation scs_opmode       cont_fmlid                 judge_fmlid        ctlstep scsact_level priorityrule ctrldeci scsdeci_cont  
# 111    500kV木里变RCS-992稳控装置 木里_里月一回相间故障特殊里月双回运行功率送出第3档跳闸策略        前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回相间故障     abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第三组策略P3)&&abs(p(木里变_里月双回线断面))<stv(特殊方式里月双回定值.第三组策略P4)&&p(木里变_里月双回线断面)>0    0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第三组策略PLQ3)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第三组策略解列3)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第三组策略全切3)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第三组策略全切3) null  
# 112    500kV木里变RCS-992稳控装置 木里_里月一回相间故障特殊里月双回运行功率送出第4档跳闸策略        前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回相间故障     abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第三组策略P4)&&abs(p(木里变_里月双回线断面))<stv(特殊方式里月双回定值.第三组策略P5)&&p(木里变_里月双回线断面)>0    0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第三组策略PLQ4)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第三组策略解列4)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第三组策略全切4)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第三组策略全切4) null  
# 113    500kV木里变RCS-992稳控装置 木里_里月一回相间故障特殊里月双回运行功率送出第5档跳闸策略        前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回相间故障     abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第三组策略P5)&&abs(p(木里变_里月双回线断面))<stv(特殊方式里月双回定值.第三组策略P6)&&p(木里变_里月双回线断面)>0    0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第三组策略PLQ5)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第三组策略解列5)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第三组策略全切5)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第三组策略全切5) null  
# 114    500kV木里变RCS-992稳控装置 木里_里月一回相间故障特殊里月双回运行功率送出第6档跳闸策略        前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回相间故障     abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第三组策略P6)&&p(木里变_里月双回线断面)>0                                                0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第三组策略PLQ6)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第三组策略解列6)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第三组策略全切6)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第三组策略全切6) null  
# 115    500kV木里变RCS-992稳控装置 木里_里月一回单永特殊里月双回运行功率流入第1档跳闸策略            前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回单永故障     abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第四组策略P1)&&abs(p(木里变_里月双回线断面))<stv(特殊方式里月双回定值.第四组策略P2)&&p(木里变_里月双回线断面)<0    0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第四组策略PLQ1)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第四组策略解列1)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切1)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切1) null  
# 116    500kV木里变RCS-992稳控装置 木里_里月一回单永特殊里月双回运行功率流入第2档跳闸策略            前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回单永故障     abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第四组策略P2)&&abs(p(木里变_里月双回线断面))<stv(特殊方式里月双回定值.第四组策略P3)&&p(木里变_里月双回线断面)<0    0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第四组策略PLQ2)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第四组策略解列2)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切2)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切2) null  
# 117    500kV木里变RCS-992稳控装置 木里_里月一回单永特殊里月双回运行功率流入第3档跳闸策略            前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回单永故障     abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第四组策略P3)&&abs(p(木里变_里月双回线断面))<stv(特殊方式里月双回定值.第四组策略P4)&&p(木里变_里月双回线断面)<0    0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第四组策略PLQ3)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第四组策略解列3)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切3)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切3) null  
# 118    500kV木里变RCS-992稳控装置 木里_里月一回单永特殊里月双回运行功率流入第4档跳闸策略            前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回单永故障     abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第四组策略P4)&&abs(p(木里变_里月双回线断面))<stv(特殊方式里月双回定值.第四组策略P5)&&p(木里变_里月双回线断面)<0    0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第四组策略PLQ4)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第四组策略解列4)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切4)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切4) null  
# 119    500kV木里变RCS-992稳控装置 木里_里月一回单永特殊里月双回运行功率流入第5档跳闸策略            前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回单永故障     abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第四组策略P5)&&abs(p(木里变_里月双回线断面))<stv(特殊方式里月双回定值.第四组策略P6)&&p(木里变_里月双回线断面)<0    0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第四组策略PLQ5)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第四组策略解列5)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切5)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切5) null  
# 120    500kV木里变RCS-992稳控装置 木里_里月一回单永特殊里月双回运行功率流入第6档跳闸策略            前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回单永故障     abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第四组策略P6)&&p(木里变_里月双回线断面)<0                                                0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第四组策略PLQ6)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第四组策略解列6)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切6)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第四组策略全切6) null  
# 121    500kV木里变RCS-992稳控装置 木里_里月一回无故跳特殊里月双回运行功率流入第1档跳闸策略          前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回无故障跳闸   abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第五组策略P1)&&abs(p(木里变_里月双回线断面))<stv(特殊方式里月双回定值.第五组策略P2)&&p(木里变_里月双回线断面)<0    0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第五组策略PLQ1)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第五组策略解列1)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第五组策略全切1)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第五组策略全切1) null  
# 122    500kV木里变RCS-992稳控装置 木里_里月一回无故跳特殊里月双回运行功率流入第2档跳闸策略          前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回无故障跳闸   abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第五组策略P2)&&abs(p(木里变_里月双回线断面))<stv(特殊方式里月双回定值.第五组策略P3)&&p(木里变_里月双回线断面)<0    0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第五组策略PLQ2)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第五组策略解列2)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第五组策略全切2)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第五组策略全切2) null  
# 123    500kV木里变RCS-992稳控装置 木里_里月一回无故跳特殊里月双回运行功率流入第3档跳闸策略          前馈     1         1            LY2_1特殊里月双回运行  木里变_里月一回无故障跳闸   abs(p(木里变_里月双回线断面))>=stv(特殊方式里月双回定值.第五组策略P3)&&abs(p(木里变_里月双回线断面))<stv(特殊方式里月双回定值.第五组策略P4)&&p(木里变_里月双回线断面)<0    0        1      1          木里按容量切电源线措施空间>=stv(特殊方式里月双回定值.第五组策略PLQ3)&&木里解列巴塘措施空间=stv(特殊方式里月双回定值.第五组策略解列3)&&木里全切本站并网线措施空间=stv(特殊方式里月双回定值.第五组策略全切3)&&木里全切远方并网线措施空间=stv(特殊方式里月双回定值.第五组策略全切3) null  
